,reward
0,-14.906391725119853
1,-12.47925378098043
2,-6.834778655239694
3,-5.7219948299486845
4,-5.740780953826841
5,-6.677368867771279
6,-6.77902941363266
7,-6.659463510292816
8,-5.725656339361953
9,-5.223758122633813
10,-5.808180057238409
11,-6.667057718857588
12,-6.849802739833051
13,-6.724863792015892
14,-6.265493928530507
15,-5.924826062260319
16,-6.232418260754221
17,-5.914519070042171
18,-6.427373026705159
19,-5.977330071147938
20,-5.865312982685895
21,-6.052832269482437
22,-5.58763736682797
23,-5.891385351627479
24,-5.870000201942084
25,-5.851405854014683
26,-5.658976068015411
27,-6.698316121050278
28,-5.257183429721427
29,-6.187139138932344
30,-6.482156927289221
31,-6.881386118483142
32,-5.879723059840089
33,-5.938835177428746
34,-6.911960803859943
35,-6.687072445192481
36,-6.747315821188318
37,-6.68684872068362
38,-6.9181073933301604
39,-6.544878021641986
40,-6.801563605355355
41,-6.281043332552638
42,-6.832416256567168
43,-6.933567512126578
44,-5.809597953837555
45,-6.759278216666618
46,-6.494856721441212
47,-5.2465083452076895
48,-5.951539021464544
49,-5.898246090247364
50,-6.826927651428717
51,-6.852076355911538
52,-6.886480242922062
53,-5.898550726526559
54,-5.892507947905138
55,-5.483926452352833
56,-6.705285127531397
57,-5.241473107183391
58,-6.945819110759379
59,-6.916339289779564
60,-5.891083927783334
61,-6.309490898521815
62,-7.0199824805258
63,-6.95543499381382
64,-6.924676076889664
65,-5.901528554648978
66,-5.972411932811144
67,-6.907431336203894
68,-5.295276378515953
69,-6.912092355372058
70,-5.923254574044455
71,-6.0357675519007685
72,-5.74519666796665
73,-6.265992160203396
74,-6.283452758627194
75,-6.150298214862584
76,-5.384274772832773
77,-5.7584493947964726
78,-5.964486518675724
79,-5.274967678850571
80,-5.795700511558753
81,-6.9306529255222
82,-7.577021114659938
83,-6.908984711464962
84,-5.656271500842903
85,-5.851852597131677
86,-6.3566556858242445
87,-6.911559068017766
88,-5.896024475931304
89,-5.8627357377238125
90,-6.573046304118169
91,-5.902890482563696
92,-6.914937986187542
93,-5.576584141671637
94,-6.31417547265831
95,-5.437137382966453
96,-6.024657608497023
97,-6.700678205942658
98,-6.509754670939102
99,-5.651084932030767
